x,y,z,hemisphere,network,network_id,image,mdsx,mdsy,color
51.66,-31.94,47.62,R,Frontal-Parietal,3,roi392.png,-13.128,51.591,#FFFB00
58.72,-26.29,-19.55,R,Frontal-Parietal,3,roi545.png,-1.551,58.066,#FFFB00
55.85,-19.73,-17.52,R,Frontal-Parietal,3,roi528.png,4.748,55.078,#FFFB00
36.77,-13.42,-28.93,R,Frontal-Parietal,3,roi549.png,11.622,35.795,#FFFB00
37.3,-7.56,5.29,R,Frontal-Parietal,3,roi433.png,14.514,36.445,#FFFB00
58.42,-4.91,-18.66,R,Frontal-Parietal,3,roi619.png,19.661,57.339,#FFFB00
25.74,1.33,46.82,R,Frontal-Parietal,3,roi369.png,19.541,24.997,#FFFB00
40.33,5.78,20.96,R,Frontal-Parietal,3,roi502.png,26.511,39.313,#FFFB00
47.35,6.36,12.94,R,Frontal-Parietal,3,roi498.png,27.927,46.264,#FFFB00
47.18,7.29,30.06,R,Frontal-Parietal,3,roi503.png,27.371,46.194,#FFFB00
29.08,7.6,51.1,R,Frontal-Parietal,3,roi368.png,25.486,28.239,#FFFB00
38.45,7.83,33.76,R,Frontal-Parietal,3,roi504.png,27.408,37.481,#FFFB00
33.57,9.81,-30.17,R,Frontal-Parietal,3,roi531.png,34.801,32.116,#FFFB00
15.92,11.06,59.66,R,Frontal-Parietal,3,roi371.png,27.919,15.072,#FFFB00
10.91,15.44,60.22,R,Frontal-Parietal,3,roi372.png,32.129,9.978,#FFFB00
29.99,15.87,51.88,R,Frontal-Parietal,3,roi606.png,33.675,28.987,#FFFB00
35.07,16.22,2.43,R,Frontal-Parietal,3,roi436.png,38.401,33.714,#FFFB00
34.56,20.45,-0.31,R,Frontal-Parietal,3,roi437.png,42.84,33.099,#FFFB00
5.13,21.94,43.08,R,Frontal-Parietal,3,roi337.png,39.964,3.948,#FFFB00
44.27,22.45,26.62,R,Frontal-Parietal,3,roi499.png,42.708,42.954,#FFFB00
39.88,22.59,36.83,R,Frontal-Parietal,3,roi493.png,41.874,38.633,#FFFB00
33.23,23.17,45.25,R,Frontal-Parietal,3,roi607.png,41.586,32.032,#FFFB00
46.49,25.12,18.48,R,Frontal-Parietal,3,roi497.png,46.116,45.063,#FFFB00
23.41,28.04,-12.73,R,Frontal-Parietal,3,roi518.png,51.241,21.711,#FFFB00
41.75,31.83,19.67,R,Frontal-Parietal,3,roi496.png,52.598,40.196,#FFFB00
41.15,32.63,28.4,R,Frontal-Parietal,3,roi494.png,52.629,39.641,#FFFB00
6.69,33.65,33.57,R,Frontal-Parietal,3,roi601.png,52.482,5.204,#FFFB00
45.01,35.54,-4.55,R,Frontal-Parietal,3,roi428.png,58.454,43.211,#FFFB00
10.94,36.44,50.02,R,Frontal-Parietal,3,roi584.png,53.928,9.512,#FFFB00
13.63,38.02,12.47,R,Frontal-Parietal,3,roi596.png,58.802,11.907,#FFFB00
26.78,39.99,-11.33,R,Frontal-Parietal,3,roi516.png,63.093,24.848,#FFFB00
9.47,40.33,-15.33,R,Frontal-Parietal,3,roi524.png,63.417,7.507,#FFFB00
40.08,43.27,16.6,R,Frontal-Parietal,3,roi317.png,64.224,38.273,#FFFB00
42.94,44.71,-6.98,R,Frontal-Parietal,3,roi513.png,67.754,40.939,#FFFB00
34.59,45.55,-9.37,R,Frontal-Parietal,3,roi515.png,68.624,32.557,#FFFB00
34.19,51.4,7.41,R,Frontal-Parietal,3,roi506.png,72.993,32.156,#FFFB00
12.41,53.3,27.77,R,Frontal-Parietal,3,roi598.png,72.674,10.484,#FFFB00
22.04,56.91,18.05,R,Frontal-Parietal,3,roi592.png,77.31,19.971,#FFFB00
13.58,58.73,19.05,R,Frontal-Parietal,3,roi595.png,78.86,11.483,#FFFB00
18.74,60.13,-1.19,R,Frontal-Parietal,3,roi587.png,82.11,16.473,#FFFB00
32.59,-78.16,38.84,R,Frontal-Parietal-Other,11,roi455.png,-58.803,33.4,#000000
49.14,-59.35,33.41,R,Frontal-Parietal-Other,11,roi459.png,-39.254,49.527,#000000
58.62,-29.87,-4.47,R,Frontal-Parietal-Other,11,roi404.png,-6.422,58.144,#000000
21.87,7.24,58.12,R,Frontal-Parietal-Other,11,roi383.png,24.371,21.087,#000000
16.33,15.8,49.11,R,Frontal-Parietal-Other,11,roi370.png,33.56,15.312,#000000
30.7,16.23,37.8,R,Frontal-Parietal-Other,11,roi608.png,35.264,29.591,#000000
25.29,25.86,42.6,R,Frontal-Parietal-Other,11,roi605.png,44.329,24.021,#000000
20.05,32.52,38.13,R,Frontal-Parietal-Other,11,roi602.png,51.24,18.616,#000000
7.15,43.8,16.32,R,Frontal-Parietal-Other,11,roi597.png,64.091,5.338,#000000
37.93,49.46,1.69,R,Frontal-Parietal-Other,11,roi507.png,71.633,35.894,#000000
27.65,53.75,10.39,R,Frontal-Parietal-Other,11,roi589.png,74.94,25.591,#000000
4,-51.64,17.52,R,Salience,8,roi323.png,-31.14,4.131,#822082
3.79,26.47,-3.92,R,Salience,8,roi510.png,48.509,2.189,#822082
2.68,29.25,17.76,R,Salience,8,roi339.png,49.382,1.174,#822082
11.22,30.66,22.37,R,Salience,8,roi338.png,50.565,9.716,#822082
5.11,34.16,3.87,R,Salience,8,roi340.png,55.523,3.407,#822082
12.63,43.68,3.09,R,Salience,8,roi591.png,65.229,10.727,#822082
4.38,45.04,0.5,R,Salience,8,roi588.png,66.636,2.433,#822082
40.92,-76.05,23.21,R,Cingulo-opercular,9,roi475.png,-55.178,41.576,#fbfbda
49.89,-69.99,-0.42,R,Cingulo-opercular,9,roi472.png,-46.914,50.257,#fbfbda
55.07,-52.2,27.37,R,Cingulo-opercular,9,roi399.png,-31.488,55.269,#fbfbda
2.98,-52.19,59.92,R,Cingulo-opercular,9,roi452.png,-35.372,3.418,#fbfbda
53.57,-49.24,37.88,R,Cingulo-opercular,9,roi398.png,-29.478,53.783,#fbfbda
51.63,-47.47,17.93,R,Cingulo-opercular,9,roi400.png,-26.032,51.668,#fbfbda
48.94,-45.93,-17,R,Cingulo-opercular,9,roi540.png,-21.537,48.704,#fbfbda
58.09,-45.7,25.18,R,Cingulo-opercular,9,roi413.png,-24.761,58.141,#fbfbda
28.63,-44.81,64.76,R,Cingulo-opercular,9,roi467.png,-27.906,28.946,#fbfbda
47.53,-44.53,19.75,R,Cingulo-opercular,9,roi411.png,-23.346,47.522,#fbfbda
21.77,-44.32,70.25,R,Cingulo-opercular,9,roi439.png,-28.035,22.116,#fbfbda
48.58,-40.18,36.04,R,Cingulo-opercular,9,roi402.png,-20.399,48.597,#fbfbda
48.38,-39.54,-20.62,R,Cingulo-opercular,9,roi552.png,-14.871,47.989,#fbfbda
3.3,-37.49,59.52,R,Cingulo-opercular,9,roi350.png,-20.689,3.437,#fbfbda
38.99,-35.92,20.77,R,Cingulo-opercular,9,roi403.png,-15.036,38.817,#fbfbda
54.37,-35.82,37.28,R,Cingulo-opercular,9,roi485.png,-16.043,54.306,#fbfbda
56.51,-35.58,19.98,R,Cingulo-opercular,9,roi415.png,-14.265,56.32,#fbfbda
62.11,-35.49,8.53,R,Cingulo-opercular,9,roi416.png,-13.07,61.837,#fbfbda
43.78,-35.33,4.73,R,Cingulo-opercular,9,roi414.png,-12.963,43.482,#fbfbda
6.59,-35.24,51.3,R,Cingulo-opercular,9,roi349.png,-17.669,6.623,#fbfbda
39.67,-33.91,13.99,R,Cingulo-opercular,9,roi417.png,-12.434,39.409,#fbfbda
12.08,-33.66,42.61,R,Cingulo-opercular,9,roi360.png,-15.231,12.02,#fbfbda
51.86,-29.67,22.25,R,Cingulo-opercular,9,roi484.png,-8.671,51.568,#fbfbda
12.02,-27.89,47.08,R,Cingulo-opercular,9,roi362.png,-9.871,11.874,#fbfbda
44.41,-26.65,-2.82,R,Cingulo-opercular,9,roi405.png,-3.652,43.883,#fbfbda
44.68,-24.6,11.01,R,Cingulo-opercular,9,roi408.png,-2.799,44.208,#fbfbda
9.91,-23.45,42.79,R,Cingulo-opercular,9,roi333.png,-5.122,9.644,#fbfbda
38.35,-22.62,5.4,R,Cingulo-opercular,9,roi610.png,-0.474,37.8,#fbfbda
34.34,-21.69,4.22,R,Cingulo-opercular,9,roi418.png,0.471,33.764,#fbfbda
54.01,-21.49,-1.67,R,Cingulo-opercular,9,roi406.png,1.588,53.384,#fbfbda
61.93,-21.15,4.21,R,Cingulo-opercular,9,roi407.png,1.583,61.337,#fbfbda
37.93,-14.32,-4.54,R,Cingulo-opercular,9,roi419.png,8.643,37.143,#fbfbda
44.22,-13.1,-2.23,R,Cingulo-opercular,9,roi611.png,9.789,43.423,#fbfbda
47.81,-12.1,13.72,R,Cingulo-opercular,9,roi483.png,9.482,47.103,#fbfbda
54.59,-8.34,3.45,R,Cingulo-opercular,9,roi613.png,14.255,53.734,#fbfbda
4.67,-3.45,39.48,R,Cingulo-opercular,9,roi342.png,14.976,3.977,#fbfbda
49.51,-3.44,46.91,R,Cingulo-opercular,9,roi313.png,15.276,48.859,#fbfbda
35.88,-2,-10.56,R,Cingulo-opercular,9,roi420.png,21.392,34.802,#fbfbda
5.85,-1.62,61.92,R,Cingulo-opercular,9,roi363.png,14.885,5.277,#fbfbda
52.72,-1.6,8.91,R,Cingulo-opercular,9,roi501.png,20.458,51.766,#fbfbda
47.39,-0.98,36.22,R,Cingulo-opercular,9,roi491.png,18.606,46.615,#fbfbda
42.79,-0.73,52.93,R,Cingulo-opercular,9,roi375.png,17.316,42.127,#fbfbda
42.84,0.81,5.01,R,Cingulo-opercular,9,roi425.png,22.99,41.812,#fbfbda
52.38,2.19,-10.5,R,Cingulo-opercular,9,roi615.png,25.903,51.214,#fbfbda
25.17,2.63,-19.7,R,Cingulo-opercular,9,roi512.png,26.57,23.937,#fbfbda
34.5,2.64,8.3,R,Cingulo-opercular,9,roi434.png,24.355,33.46,#fbfbda
4.1,2.93,52.48,R,Cingulo-opercular,9,roi336.png,20.196,3.369,#fbfbda
11.96,3.53,59.8,R,Cingulo-opercular,9,roi358.png,20.325,11.266,#fbfbda
8.41,4.01,43.11,R,Cingulo-opercular,9,roi341.png,22.171,7.591,#fbfbda
49.27,6.81,-7.86,R,Cingulo-opercular,9,roi612.png,30.212,48.029,#fbfbda
33.44,7.55,36.19,R,Cingulo-opercular,9,roi492.png,26.815,32.495,#fbfbda
37.94,7.81,-5.86,R,Cingulo-opercular,9,roi435.png,30.8,36.695,#fbfbda
21.08,9.87,-15.73,R,Cingulo-opercular,9,roi517.png,33.354,19.729,#fbfbda
36.14,12.7,-18.76,R,Cingulo-opercular,9,roi609.png,36.747,34.707,#fbfbda
45.87,15.7,26.53,R,Cingulo-opercular,9,roi500.png,36.025,44.69,#fbfbda
2.37,15.91,29.61,R,Cingulo-opercular,9,roi346.png,35.064,1.217,#fbfbda
39.23,16.12,9.95,R,Cingulo-opercular,9,roi424.png,37.738,37.927,#fbfbda
10.9,17.48,33.66,R,Cingulo-opercular,9,roi345.png,36.456,9.741,#fbfbda
6.99,21.42,28.14,R,Cingulo-opercular,9,roi347.png,40.776,5.714,#fbfbda
41.48,24.24,-0.05,R,Cingulo-opercular,9,roi438.png,46.736,39.942,#fbfbda
45.65,31.84,6.84,R,Cingulo-opercular,9,roi422.png,53.798,44.006,#fbfbda
43.66,40.25,6.65,R,Cingulo-opercular,9,roi427.png,62.15,41.844,#fbfbda
27.3,40.4,28.59,R,Cingulo-opercular,9,roi586.png,60.064,25.638,#fbfbda
25.71,49.03,-2.25,R,Cingulo-opercular,9,roi508.png,71.291,23.658,#fbfbda
10.52,-63,49.63,R,Parietal-Episodic-Retrieval,12,roi450.png,-45.094,11.103,#CC0066
10.68,-61.66,35.2,R,Parietal-Episodic-Retrieval,12,roi454.png,-42.509,11.135,#CC0066
5.34,-45.18,17.75,R,Parietal-Episodic-Retrieval,12,roi329.png,-24.698,5.341,#CC0066
5.99,-34.51,27.61,R,Parietal-Episodic-Retrieval,12,roi322.png,-14.908,5.843,#CC0066
3.28,-20.59,33.37,R,Parietal-Episodic-Retrieval,12,roi343.png,-1.597,2.892,#CC0066
41.31,-69.82,33.34,R,Parieto-Occipital,13,roi477.png,-49.84,41.911,#003eff
4.55,-68.42,27,R,Parieto-Occipital,13,roi573.png,-48.661,5.086,#003eff
9.93,-65.42,26.72,R,Parieto-Occipital,13,roi447.png,-45.537,10.402,#003eff
13.14,-58.11,22.24,R,Parieto-Occipital,13,roi576.png,-37.802,13.432,#003eff
3.3,-56.78,24.63,R,Parieto-Occipital,13,roi446.png,-36.889,3.584,#003eff
5.06,-54.42,8.19,R,Parieto-Occipital,13,roi324.png,-33.081,5.182,#003eff
5.44,-50.14,5.72,R,Parieto-Occipital,13,roi330.png,-28.597,5.458,#003eff
18.46,-68.79,54.43,R,First-Dorsal-Attention,5,roi443.png,-51.11,19.192,#c46b8b
33.56,-41.88,47.79,R,First-Dorsal-Attention,5,roi386.png,-23.419,33.697,#c46b8b
55.95,-29.27,37.66,R,First-Dorsal-Attention,5,roi486.png,-9.519,55.756,#c46b8b
55.92,-28,31.64,R,First-Dorsal-Attention,5,roi487.png,-7.734,55.658,#c46b8b
23.84,0.81,56.2,R,First-Dorsal-Attention,5,roi382.png,18.173,23.173,#c46b8b
28.68,-51.11,58.72,R,Second-Dorsal-Attention,6,roi466.png,-33.659,29.082,#d6add6
11.87,-49.76,62.42,R,Second-Dorsal-Attention,6,roi440.png,-32.983,12.274,#d6add6
30.88,-44.77,54.57,R,Second-Dorsal-Attention,6,roi465.png,-26.939,31.124,#d6add6
35.87,-38.31,55.51,R,Second-Dorsal-Attention,6,roi385.png,-20.482,35.988,#d6add6
41.8,-28.58,41.97,R,Second-Dorsal-Attention,6,roi391.png,-9.498,41.625,#d6add6
47.17,-23.25,36.82,R,Second-Dorsal-Attention,6,roi390.png,-3.633,46.85,#d6add6
59.23,-21.39,29.83,R,Second-Dorsal-Attention,6,roi488.png,-0.925,58.821,#d6add6
34.22,-9.66,55.93,R,Second-Dorsal-Attention,6,roi378.png,7.984,33.761,#d6add6
46.56,0.38,26.81,R,Second-Dorsal-Attention,6,roi505.png,20.756,45.692,#d6add6
23.58,-20.65,-14.87,R,Subcortical,14,roi632.png,2.932,22.852,#94cd54
9.8,-15.81,5.97,R,Subcortical,14,roi628.png,5.666,9.123,#94cd54
20.56,-3.82,-20.57,R,Subcortical,14,roi633.png,20.125,19.452,#94cd54
18.72,-1.42,-2.53,R,Subcortical,14,roi631.png,20.919,17.69,#94cd54
24.45,3.52,-2.15,R,Subcortical,14,roi630.png,25.926,23.321,#94cd54
12.47,11.94,8.07,R,Subcortical,14,roi629.png,33.181,11.245,#94cd54
6.76,12.04,-8.82,R,Subcortical,14,roi634.png,34.621,5.416,#94cd54
21.19,-65.5,-1.56,R,Somatomotor,10,roi571.png,-42.94,21.464,#00ffff
20.78,-59.07,61.88,R,Somatomotor,10,roi442.png,-42.024,21.367,#00ffff
17.52,-50.76,-7.45,R,Somatomotor,10,roi318.png,-27.826,17.455,#00ffff
10.82,-45.6,-4.87,R,Somatomotor,10,roi331.png,-23.048,10.67,#00ffff
25.54,-44.94,-5.19,R,Somatomotor,10,roi532.png,-22.057,25.371,#00ffff
9.13,-41.93,65.99,R,Somatomotor,10,roi351.png,-25.549,9.401,#00ffff
38.07,-41.22,-20.57,R,Somatomotor,10,roi553.png,-16.763,37.716,#00ffff
13.01,-37.92,71.9,R,Somatomotor,10,roi352.png,-21.985,13.24,#00ffff
27.21,-35.66,54.84,R,Somatomotor,10,roi384.png,-17.965,27.272,#00ffff
8.05,-33.91,65.77,R,Somatomotor,10,roi359.png,-17.564,8.157,#00ffff
15.67,-32.58,68.63,R,Somatomotor,10,roi312.png,-16.328,15.768,#00ffff
31.99,-32.06,46.23,R,Somatomotor,10,roi395.png,-13.536,31.918,#00ffff
30.19,-32.03,59.75,R,Somatomotor,10,roi396.png,-14.712,30.212,#00ffff
10.23,-32.01,53.17,R,Somatomotor,10,roi361.png,-14.538,10.21,#00ffff
8.08,-30.77,76.31,R,Somatomotor,10,roi353.png,-15.347,8.197,#00ffff
22.74,-28.71,65.9,R,Somatomotor,10,roi394.png,-12.091,22.739,#00ffff
39.23,-27.95,48.54,R,Somatomotor,10,roi397.png,-9.491,39.089,#00ffff
6.11,-25.94,71.18,R,Somatomotor,10,roi354.png,-10.134,6.094,#00ffff
22.11,-25.27,62.67,R,Somatomotor,10,roi364.png,-8.398,22.017,#00ffff
35.36,-24.41,17.5,R,Somatomotor,10,roi320.png,-3.364,34.932,#00ffff
15.16,-24.35,67.97,R,Somatomotor,10,roi373.png,-8.084,15.087,#00ffff
11.78,-21.35,67.57,R,Somatomotor,10,roi377.png,-5.132,11.644,#00ffff
22.21,-21.29,60.79,R,Somatomotor,10,roi374.png,-4.27,22.023,#00ffff
34.31,-20.59,58.53,R,Somatomotor,10,roi376.png,-3.126,34.091,#00ffff
38.92,-19.61,48.58,R,Somatomotor,10,roi365.png,-1.194,38.61,#00ffff
53.76,-18.99,42.61,R,Somatomotor,10,roi389.png,0.247,53.393,#00ffff
5.5,-18.24,63.95,R,Somatomotor,10,roi356.png,-1.852,5.278,#00ffff
35.82,-15.61,36.22,R,Somatomotor,10,roi388.png,3.793,35.344,#00ffff
34.34,-14.82,11.16,R,Somatomotor,10,roi432.png,6.714,33.673,#00ffff
33.73,-14.63,64.59,R,Somatomotor,10,roi379.png,2.275,33.432,#00ffff
5.49,-14.25,51.15,R,Somatomotor,10,roi335.png,3.228,5.097,#00ffff
8.3,-14.03,40.26,R,Somatomotor,10,roi334.png,4.446,7.826,#00ffff
60,-12.85,20.38,R,Somatomotor,10,roi489.png,8.413,59.352,#00ffff
14.69,-12.76,70.03,R,Somatomotor,10,roi355.png,3.272,14.397,#00ffff
53.06,-12.62,29.48,R,Somatomotor,10,roi490.png,7.712,52.472,#00ffff
37.2,-12,15.49,R,Somatomotor,10,roi426.png,9.208,36.506,#00ffff
50.01,-8.48,30.4,R,Somatomotor,10,roi481.png,11.693,49.346,#00ffff
37.73,-8.47,44.78,R,Somatomotor,10,roi366.png,10.205,37.169,#00ffff
29.38,-8.05,58.13,R,Somatomotor,10,roi380.png,9.297,28.905,#00ffff
19.79,-7.82,62.55,R,Somatomotor,10,roi381.png,8.945,19.343,#00ffff
9.15,-7.64,64.22,R,Somatomotor,10,roi357.png,8.759,8.714,#00ffff
58.31,-4.67,17.35,R,Somatomotor,10,roi482.png,16.787,57.475,#00ffff
18.57,-105.13,4.65,R,First-Visual-V1,4,roi558.png,-83.004,19.691,#00f700
26.41,-99.63,7.79,R,First-Visual-V1,4,roi563.png,-77.634,27.44,#00f700
29.1,-97.76,-7.67,R,First-Visual-V1,4,roi565.png,-74.38,29.983,#00f700
26.55,-97.18,0.27,R,First-Visual-V1,4,roi562.png,-74.541,27.477,#00f700
28.08,-90.17,-8.48,R,First-Visual-V1,4,roi566.png,-66.771,28.804,#00f700
13.6,-88.78,-5.62,R,First-Visual-V1,4,roi567.png,-65.935,14.319,#00f700
12.52,-85.72,6.9,R,First-Visual-V1,4,roi559.png,-63.991,13.265,#00f700
14.15,-88.52,26.03,R,Second-Visual,2,roi449.png,-68.399,15.085,#393FAC
20.64,-86.51,33.21,R,Second-Visual,2,roi445.png,-66.882,21.583,#393FAC
34.62,-85.33,15.86,R,Second-Visual,2,roi468.png,-63.917,35.414,#393FAC
36.73,-82.36,9.67,R,Second-Visual,2,roi469.png,-60.38,37.421,#393FAC
5.75,-81.17,23.61,R,Second-Visual,2,roi572.png,-61.043,6.521,#393FAC
31.1,-80.5,-12.83,R,Second-Visual,2,roi568.png,-56.701,31.597,#393FAC
40.87,-79.22,0.15,R,Second-Visual,2,roi470.png,-56.344,41.43,#393FAC
25.33,-76.85,-7.53,R,Second-Visual,2,roi570.png,-53.643,25.792,#393FAC
28.23,-76.8,30.94,R,Second-Visual,2,roi315.png,-56.856,28.958,#393FAC
13.65,-76.51,39.24,R,Second-Visual,2,roi448.png,-57.588,14.434,#393FAC
9.65,-74.6,-1.64,R,Second-Visual,2,roi560.png,-52.237,10.111,#393FAC
15.11,-71.64,44.92,R,Second-Visual,2,roi444.png,-53.197,15.834,#393FAC
31.77,-70.36,-14.14,R,Second-Visual,2,roi569.png,-46.474,32.053,#393FAC
18.34,-69.19,26.25,R,Second-Visual,2,roi575.png,-49.077,18.884,#393FAC
23.18,-66.61,-7.55,R,Second-Visual,2,roi537.png,-43.487,23.434,#393FAC
43.6,-66.44,11.74,R,Second-Visual,2,roi473.png,-44.559,43.981,#393FAC
39.57,-66.13,-3.61,R,Second-Visual,2,roi564.png,-43.008,39.838,#393FAC
40.44,-65.64,21.76,R,Second-Visual,2,roi476.png,-44.694,40.875,#393FAC
17.27,-63.85,16.92,R,Second-Visual,2,roi574.png,-42.974,17.641,#393FAC
8.84,-58.2,-1.27,R,Second-Visual,2,roi326.png,-35.95,8.971,#393FAC
38.49,-57.86,-10.7,R,Second-Visual,2,roi539.png,-34.181,38.542,#393FAC
26.99,-54.6,-13.15,R,Second-Visual,2,roi538.png,-30.961,26.961,#393FAC
26.61,-53.95,-4.17,R,Second-Visual,2,roi557.png,-31.097,26.631,#393FAC
16.19,-53.17,3.44,R,Second-Visual,2,roi325.png,-31.195,16.251,#393FAC
22.14,-52.8,51.51,R,Second-Visual,2,roi464.png,-34.855,22.527,#393FAC
13.16,-52.34,57.76,R,Second-Visual,2,roi441.png,-35.123,13.583,#393FAC
-40.11,-44.96,-19.26,L,Second-Visual,2,roi239.png,-22.226,-40.361,#393FAC
-31.46,-53.1,-15.8,L,Second-Visual,2,roi224.png,-30.453,-31.524,#393FAC
-10.51,-54.17,-0.38,L,Second-Visual,2,roi019.png,-32.415,-10.45,#393FAC
-28.49,-54.91,57.66,L,Second-Visual,2,roi154.png,-38.54,-28.006,#393FAC
-16.01,-59.23,4.1,L,Second-Visual,2,roi012.png,-37.957,-15.815,#393FAC
-20.71,-61.48,-5.52,L,Second-Visual,2,roi005.png,-39.465,-20.535,#393FAC
-12.78,-64.34,12.22,L,Second-Visual,2,roi263.png,-43.681,-12.425,#393FAC
-6.73,-67.35,-1.38,L,Second-Visual,2,roi013.png,-45.378,-6.411,#393FAC
-19.23,-72.1,36.37,L,Second-Visual,2,roi130.png,-53.63,-18.548,#393FAC
-34.89,-73.33,-4.62,L,Second-Visual,2,roi249.png,-51.64,-34.466,#393FAC
-42.92,-74.51,3.47,L,Second-Visual,2,roi158.png,-53.681,-42.413,#393FAC
-21.43,-74.63,-10.34,L,Second-Visual,2,roi223.png,-52.161,-21.022,#393FAC
-14.4,-76.67,26.42,L,Second-Visual,2,roi133.png,-57.222,-13.696,#393FAC
-14.63,-78.73,41.3,L,Second-Visual,2,roi135.png,-60.565,-13.781,#393FAC
